Company Name,Symbol
DDr. Lal Path Labs,"3,370.00Invest"
MMotherson Sumi Wiring,41.66Invest
NNBCC,103.55Invest
EEmcure Pharmaceuticals,"1,493.85Invest"
TTata Technologies,683.75Invest
ZZF Commercial,"14,566.00Invest"
SSona BLW Precision Forgings,449.55Invest
AAffle 3i,"1,946.00Invest"
IInventurus Knowledge Solutions,"1,554.90Invest"
EEmami,610.75Invest
KKIOCL,432.40Invest
JJ B Chemicals and Pharmaceuticals,"1,754.00Invest"
IIRB Infrastructure Developers,43.80Invest
SSyngene International,668.35Invest
SShyam Metalics & Energy,940.00Invest
PPiramal Enterprises,"1,166.85Invest"
RRamco Cements,"1,083.95Invest"
AAegis Logistics,734.00Invest
PPfizer,"5,663.65Invest"
FFirstsource Solutions,368.70Invest
SStar Health Insurance,443.10Invest
AAditya Birla Sun Life AMC,884.50Invest
PPiramal Pharma,192.80Invest
EEIH Hotels,406.85Invest
BBayer Crop Science,"5,508.00Invest"
NNuvama Wealth Management,"6,979.80Invest"
AAmber Enterprises,"7,254.00Invest"
NNavin Fluorine International,"5,039.00Invest"
DDeepak Nitrite,"1,805.75Invest"
IInox Wind,144.20Invest
TTVS Holdings,"12,046.00Invest"
TTata Chemicals,939.55Invest
EEris Lifesciences,"1,772.00Invest"
WWockhardt,"1,478.45Invest"
BBrigade Enterprises,961.40Invest
HHimadri Speciality Chemical,469.45Invest
WWelspun Corp,890.70Invest
AAnand Rathi Wealth,"2,804.45Invest"
HHindustan Copper,237.75Invest
AAngel One,"2,518.65Invest"
SSun TV Network,571.35Invest
CChambal Fertilisers & Chemicals,561.25Invest
MManappuram Finance,266.35Invest
TTimken,"2,998.45Invest"
CChalet Hotels,"1,019.50Invest"
AAadhar Housing Finance,523.90Invest
CCredit Access Grameen,"1,398.45Invest"
SSKF India,"4,505.00Invest"
MMangalore Refinery & Petroleum,124.50Invest
KKalpataru Projects International,"1,301.30Invest"
HHBL Engineering,800.35Invest
JJyoti CNC Automation,956.25Invest
CCESC,166.75Invest
KKEC International,826.00Invest
OOla Electric Mobility,47.18Invest
SSagility India,46.07Invest
SSarda Energy & Minerals,597.10Invest
DDevyani International,170.10Invest
AAstraZeneca Pharma,"8,430.00Invest"
PPunjab & Sind Bank,28.95Invest
PPNB Housing Finance,801.95Invest
AAsahi India Glass,886.25Invest
SSundram Fasteners,995.10Invest
EEID Parry,"1,175.85Invest"
CCrompton Greaves,316.75Invest
CCastrol,206.20Invest
SSchneider Electric Infra,868.65Invest
HHatsun Agro Product,906.90Invest
KKajaria Ceramics,"1,270.00Invest"
FFirstcry (Brainbees Solutions),383.30Invest
JJSW Holdings,"17,971.80Invest"
AAditya Birla Real Estate,"1,800.80Invest"
PPTC Industries,"13,700.15Invest"
PPoly Medicure,"2,059.30Invest"
BBASF,"4,615.00Invest"
DDCM Shriram Consolidated,"1,263.00Invest"
IIIFL Finance,453.10Invest
BBikaji Foods International,769.95Invest
KKFin Technologies,"1,125.65Invest"
SSai Life Sciences,924.75Invest
CComputer Age Management Services,"3,903.60Invest"
KKansai Nerolac Paints,232.70Invest
DDeepak Fertilisers & Petrochemicals,"1,525.90Invest"
eeClerx Services,"3,912.00Invest"
AAlembic Pharmaceuticals,974.50Invest
AAnant Raj,547.00Invest
RRedington,243.65Invest
VVedant Fashions,776.80Invest
AATUL,"6,515.10Invest"
ZZensar Technologies,792.70Invest
CConcord Biotech,"1,771.80Invest"
JJM Financial,192.80Invest
AAmara Raja Energy & Mobility,985.95Invest
CCapri Global Capital,187.40Invest
CCarborundum Universal,933.20Invest
MMaharashtra Scooters,"15,530.00Invest"
AAptus Value Housing Finance,345.85Invest
NNeuland Laboratories,"13,835.00Invest"
UUTI AMC,"1,370.00Invest"
TTechno Electric & Engineering,"1,541.00Invest"
VVinati Organics,"1,674.05Invest"
VVentive Hospitality,745.00Invest
GGujarat State Petronet,304.20Invest
FFive Star Business Finance,587.00Invest
RRatnamani Metals & Tubes,"2,426.00Invest"
TTriveni Turbines,533.00Invest
JJubilant Pharmova,"1,083.05Invest"
GGrindwell Norton,"1,570.50Invest"
CCaplin Point Laboratories,"2,170.00Invest"
BBEML,"4,029.00Invest"
WWhirlpool,"1,297.90Invest"
NNuvoco Vistas Corporation,456.00Invest
LLMW,"15,151.10Invest"
CCraftsman Automation,"6,793.60Invest"
CCentury Plyboards,735.45Invest
SSobha,"1,481.15Invest"
VV-Guard Industries,373.40Invest
RRainbow Childrens Medicare,"1,569.30Invest"
CCity Union Bank,211.65Invest
EElgi Equipments,501.45Invest
IIrcon International,171.25Invest
IIndiaMART InterMesh,"2,671.50Invest"
SSignatureglobal,"1,120.05Invest"
PPG Electroplast,563.80Invest
TTBO Tek,"1,448.00Invest"
NNatco Pharma,882.70Invest
KKirloskar Brothers,"1,935.90Invest"
AAfcons Infrastructure,430.90Invest
SSupreme Petrochem,799.25Invest
RRBL Bank,253.25Invest
AAkzo Nobel,"3,390.20Invest"
IInternational Gemmological Institute,350.70Invest
CCIE Automotive,399.30Invest
DDOMS Industries,"2,480.95Invest"
BBLS International Services,368.05Invest
JJBM Auto,638.20Invest
FFine Organic Industries,"4,780.15Invest"
IIFCI,54.08Invest
TTrident,28.51Invest
JJupiter Wagons,340.50Invest
DData Patterns,"2,587.60Invest"
GGodrej Agrovet,746.15Invest
PPCBL Chemical,380.15Invest
SSwan Energy,475.55Invest
BBata,"1,105.20Invest"
GGreat Eastern Shipping Company,965.20Invest
BBlue Dart Express,"5,790.00Invest"
AAarti Industries,382.60Invest
KKirloskar Oil Engines,949.95Invest
NNCC,217.15Invest
CCyient,"1,228.85Invest"
RRR Kabel,"1,215.15Invest"
GGujarat Mineral Development Corporation,427.10Invest
IIntellect Design Arena,966.00Invest
HHome First Finance Company,"1,310.00Invest"
LLemon Tree Hotels,169.40Invest
MMahanagar Gas,"1,326.00Invest"
JJindal SAW,203.20Invest
FFinolex Cables,849.60Invest
AAavas Financiers,"1,647.50Invest"
FFinolex Industries,211.80Invest
IIndian Energy Exchange,143.85Invest
CCEAT,"3,178.50Invest"
BBombay Burmah Trading,"1,824.55Invest"
ZZen Technologies,"1,492.85Invest"
ZZydus Wellness,"1,961.80Invest"
JJyothy Laboratories,340.70Invest
OOlectra Greentech,"1,554.65Invest"
RRITES,256.25Invest
AAnupam Rasayan,"1,131.55Invest"
NNewgen Software Technologies,866.50Invest
GGR Infraprojects,"1,268.95Invest"
CClean Science & Technology,"1,153.15Invest"
VVardhman Textiles,414.50Invest
SSanofi,"5,237.95Invest"
IIndia Cements,376.15Invest
SStar Cement,279.95Invest
CCCL Products,882.05Invest
RRelaxo Footwears,477.35Invest
CCello World,538.00Invest
MMinda Corporation,507.70Invest
AAction Construction Equipment,983.00Invest
IIngersoll Rand,"3,772.90Invest"
BBalrampur Chini Mills,584.20Invest
TTitagarh Rail Systems,858.55Invest
JJammu & Kashmir Bank,102.80Invest
WWelspun Living,118.75Invest
TTata Teleservices Maharashtra,58.89Invest
NNMDC Steel,38.78Invest
JJubilant Ingrevia,716.15Invest
ZZee Entertainment,123.45Invest
UUsha Martin,375.80Invest
GGranules,457.00Invest
MMetropolis Healthcare,"2,158.10Invest"
WWestlife Foodworld,700.00Invest
JJK Lakshmi Cement,924.00Invest
AAlkyl Amines Chemicals,"2,143.95Invest"
PPVR Inox,"1,132.80Invest"
EEngineers India,191.60Invest
TTejas Networks,620.90Invest
BBirlasoft,375.65Invest
SSonata Software,372.50Invest
GGraphite,536.40Invest
SSapphire Foods,326.25Invest
PProcter & Gamble Health,"6,573.80Invest"
HHFCL,73.59Invest
RRamkrishna Forgings,572.75Invest
CCan Fin Homes,769.20Invest
RRHI Magnesita,485.55Invest
SSammaan Capital,121.80Invest
AAether Industries,769.00Invest
BBirla Corporation,"1,303.45Invest"
MMedplus Health Services,832.85Invest
